id,category,tamil,translit,english,image
23,numbers,60 (அறுபது),60 - arupatu,60 (sixty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt295YrIFKnV4fwZAlGymI_wnfsWNgFs-7BYxwWi-XrxL8wbj254v-HywVRKw&s
24,numbers,80 (எண்பது),80 - enpatu,80 (eighty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzyUU2xCgsSiu1pZK0VuBRH8nzJXeqUXUn-imk1klLVWn-R2Q-hiHszMhZaRo&s
25,numbers,90 (ெதாண்ணூறு),90 - tonnuru,90 (ninety),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn8evVoZfR5-lP3RT_XeVkTXD9Gz_sQovC_9ajBMcoM2iapYuTrPaAJLjfIw&s
26,numbers,100 (நூறு),100 - nuru,100 (one hundred),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQS5IHet4bNW9w04ZbUvB4GKWqhG-Os8HwClxVRRPlvYq-K8VpwLZ8-x5ceeIg&s
27,numbers,101 (நூறு ஒன்று),101 - nuru onru,101 (one hundred one),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREOAaFH9_igVpRODE8wuLIgefz8PnaVqq_rQgcuCqddKwH4vZBgGNYZ4UOUiI&s
28,numbers,200 (இருநூறு),200 - irunuru,200 (two hundred),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLxvtE_TyAEXWnoKy_WqC0g-jipEAS0Hw94EXTXvs04gRijGaeVitFTP7jkR0&s
29,numbers,500 (ஐநூறு),500 - ainuru,500 (five hundred),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqj7A7BDMIDvpmvwOyspqB3tQjLH_ZUSiILn_DsPKurBpaIvq-4DMJUot2LA&s
30,numbers,1000 (ஆயிரம்),1000 - ayiram,1000 (one thousand),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ5k3RB3-n5_eC1EmEMKaRHT8GNY8Vq5MrcG-F3DvPT8XYWvkXehaCoUnmnDI&s
31,numbers,2000 (இரண்டாயிரம்),2000 - irantayiram,2000 (two thousand),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7qTptnOpANfUmpyXDByYanOdIPYXpJVfOwzWH1NljL3dVsOo8Pgsid6LoRrA&s
32,numbers,2001 (இரண்டாயிரத்து ஒன்று),2001 - irantayirattu onru,2001 (two thousand one),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQits5lfV8IVM4rzUdPjjfIhDHC7Otshvj-VAhyLYR7x_ivNKXtiLXxNKKpWnE&s
33,numbers,2102 (இரண்டாயிரத்து நூற்றி இரண்டு),2102 - irantayirattu nurri irantu,2102 (two thousand one hundred two),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMNXdkq-SCHpTj8gwmXFs1z4i54CeSO4uUojYlR-8QgtNAAoKVtpdqocvNIA&s
34,numbers,10000 (பத்தாயிரம்),10000 - pattayiram,10000 (ten thousand),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzqRew75Jxc0pCUZ9KIDBTw49qq7SXOKiOaMTBQyjm6P_F6oeV_lMLRY3IfA&s
35,numbers,1000000 (ஒரு மில்லியன்),1000000 - oru milliyan,1000000 (one million),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqse0Ky8VASnzZ-WR0560T5tXpsswGheoFb1Ri3K4cL8gyjkzIHmuXhn-KzQ&s
36,numbers,1000000000 (ஒரு பில்லியன்),1000000000 - oru pilliyan,1000000000 (one billion),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4_BmLNgUU8WLRtwrwkXcfcZYo2IYkEyVwrWEMivn41OWHfPmnvpUIl1pnbw&s
37,numbers,முதல் (1 ),st,First (1 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu-pk9016BdFUnQu1tGveezDCEUrmtzUmPBYEHCn5dyW8oQnENybirSX_LAg4&s
38,numbers,இரண்டாவது (2 ),nd,Second (2 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXLMsuHA3-4UmGEMw77UyZfIZ9ykqke6-dnx8YPh78XCRmNVAXLxayBgl46Lw&s
39,numbers,நான்காவது (4,வது,Fourth (4 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSHVz84PgdTsohbOHY77YqyJR_tBYtIyltonuc9vSn0EzuT0celODusKyVVU4&s
40,numbers,ஐந்தாவது (5,வது,Fifth (5 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJvSe4KnQXCyido8lC-oXOR7vdM-aCoU32azv90wamFL5p_wKgV4oJ0qb2bw&s
41,numbers,ஆறாவது (6,வது,Sixth (6 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBKUxRpL34qETmWUVs6lvwOEfcVjyZnenKurtuMEgPnoYE7r1j3MDwdBpS6Tk&s
42,numbers,ஏழாவது (7,வது,Seventh (7 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMnhznvWg6htYCmBEEVU8kk6mWdANXzAHnOzySWcJ0onVRBQ1ag0-5QKZ2UQ&s
43,numbers,எட்டாவது (8,வது,Eighth (8 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfjVoWT6QqHifutzu1VidtiVaQPMCVqvU7WP-_TjAVrkhKpW7AoXMGTIwbmA&s
44,numbers,ஒன்பதாவது (9,வது,Ninth (9 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0Q_HO7Pq0sBgMSCNInXINP3sBRB_kziS3VBBegFHdMSk7BP5U7bMzbJf2yw&s
45,numbers,பத்தாவது (10,வது,Tenth (10 ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj9ngA9qDC4rmsUcyU6S-lSqOjS4UA9Q6k0jqcDJlflS_tKvtON6DrdfUlsHw&s
46,numbers,குைறவாக,Kuraivaka,Less,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4blmldyvEsc_N3UFKHw7v7T4101W7iZp4EJ90Nnfo4VXqlbJzG-aHH0VI2Jk&s
47,numbers,ேமலும்,melum,More,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_U5yHRiRGJI92kG219kR55DGEI_8SU7Uoz-H6wEdzk3Ce4gVq1oD9o7l9_Q&s
48,numbers,1/2 (அைர),1/2 - arai,1/2 (a half),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_blWhgPCl2nT2GrcKi4LXoGQxUUzttUsAIaRgC1jlNmtgTXO1yr_lI7R8-u8&s
49,numbers,1/4 (கால்),1/4 - kal,1/4 (a quarter),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1d_8VHZgYoX2jJNc2MW0ZgsbPwDu4-E6F95RcUPB_vUUG_DEcSI_qcpFNGw&s
50,numbers,அைனத்தும் / இல்ைல,anaittum/ illai,All / None,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCJUQ0MrkwNp89NZHyTe9EQTVVZTVVEyonVF9Vmc_US4JIKjMILXYz-LMYZg&s
51,numbers,சில / பல,cila/ pala,Some / Many,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiwxfGEm_9iLuRqfpP1WU4XsUoXnPA5bX7etnthkuDjYMP7sFrhex444Ktsg&s
52,numbers,எவ்வளவு?,evvalavu?,How Much?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoL2nId4cxdemYLndaHNfepJijoEAZsMk9irNFn37N_hjpYRJ9EZXEb2lqeg&s
53,numbers,எத்தைன?,Ettanai?,How Many?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoL2nId4cxdemYLndaHNfepJijoEAZsMk9irNFn37N_hjpYRJ9EZXEb2lqeg&s
